22:54:54 13/05/26 | INFO  | c.S.SmartDeviceManager | Starting SmartDeviceManager v1.0.0 using Java 21.0.10 with PID 6716 (/home/gavinsco/apps/SmartDeviceManager/target/SmartDeviceManager-1.0.0.jar started by gavinsco in /home/gavinsco/apps/SmartDeviceManager)
22:54:54 13/05/26 | INFO  | c.S.SmartDeviceManager | No active profile set, falling back to 1 default profile: "default"
22:54:59 13/05/26 | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat initialized with port 9090 (http)
22:54:59 13/05/26 | INFO  | o.a.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["http-nio-9090"]
22:54:59 13/05/26 | INFO  | o.a.catalina.core.StandardService | Starting service [Tomcat]
22:54:59 13/05/26 | INFO  | o.a.catalina.core.StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.39]
22:54:59 13/05/26 | INFO  | o.a.c.c.C.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext
22:54:59 13/05/26 | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 4616 ms
22:55:01 13/05/26 | INFO  | c.S.service.SunriseService | Sunrise service started with scheduler pool size 2.
22:55:01 13/05/26 | INFO  | c.S.service.SunsetService | Sunset service loaded. Detection window: 21:00 to 00:00 local time. Ping interval controls scheduler delay.
22:55:03 13/05/26 | INFO  | o.a.coyote.http11.Http11NioProtocol | Starting ProtocolHandler ["http-nio-9090"]
22:55:03 13/05/26 | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat started on port 9090 (http) with context path '/'
22:55:03 13/05/26 | INFO  | c.S.service.SunsetService | Sunset checks running. First trigger: scheduler, current local time: 22:55:03.377520786.
22:55:03 13/05/26 | INFO  | c.S.service.SunsetService | Detection window opened by scheduler at 22:55:03.380385904 with 1 monitored devices: [Main Bedroom Light (bedroomlight, 192.168.4.50)]
22:55:03 13/05/26 | INFO  | c.S.SmartDeviceManager | Started SmartDeviceManager in 11.628 seconds (process running for 14.458)
22:55:03 13/05/26 | INFO  | c.S.s.ApplicationStartupNotificationService | SmartDeviceManager startup complete at local time 2026-05-13T22:55:03.431162427+01:00[Europe/London] (UTC 2026-05-13T21:55:03.431297256Z).
22:55:05 13/05/26 | INFO  | c.S.service.SunsetService | First sunset check: Main Bedroom Light is online; sending nightly off
22:55:06 13/05/26 | INFO  | c.S.service.SunsetService | Sent nightly off to Main Bedroom Light (reason: first online check after 21:00)
22:57:20 13/05/26 | INFO  | o.a.c.c.C.[Tomcat].[localhost].[/] | Initializing Spring DispatcherServlet 'dispatcherServlet'
22:57:20 13/05/26 | INFO  | o.s.web.servlet.DispatcherServlet | Initializing Servlet 'dispatcherServlet'
22:57:20 13/05/26 | INFO  | o.s.web.servlet.DispatcherServlet | Completed initialization in 4 ms
